trip1, sequence1, lat, long, trip2, sequence2, lat2,long2
580,14747,19.4969579,-99.1183729,59,7751,19.4969579,-99.1183729
149,3851,19.2673436101,-99.0010287302,604,15489,19.2673952211,-99.0010287302
500,12575,19.3029179148,-99.1459081565,402,10131,19.3028957332,-99.1459081565
226,5791,19.3648787666,-99.1099781444,543,13822,19.364876269,-99.1099781444
266,6966,19.3076588757,-99.1805123297,198,5056,19.3076388,-99.1805123297
75,1999,19.5184655122,-99.1475738353,67,1804,19.5185118334,-99.1475738353
20,579,19.3244962671,-99.2467390163,507,12780,19.3244992575,-99.2467390163
257,6679,19.3573193502,-99.0861387092,413,10364,19.3572621892,-99.0861387092
421,10681,19.4508696846,-99.0792698209,299,11096,19.4508704632,-99.0792698209
117,3039,19.3759186303,-99.1888918559,499,12570,19.375916,-99.1888918559
226,5772,19.3717827721,-99.1368005847,449,11313,19.3717313778,-99.1368005847
318,8280,19.6897641803,-98.9784674448,245,6305,19.689738204,-98.9784674448
606,15535,19.4782498017,-99.1633190073,491,12339,19.4783374408,-99.1633190073
44,1184,19.4276467602,-99.1795576134,91,2408,19.4276226,-99.1795576134
463,11661,19.469193045,-99.1372066808,75,2016,19.4691347494,-99.1372066808
321,8348,19.4229329,-99.1260599,543,13790,19.4229788381,-99.1260599
317,8254,19.3095998535,-99.228731592,35,897,19.3096028,-99.228731592
41,4774,19.2932423911,-99.1703568258,433,10984,19.2932517574,-99.1703568258
610,15618,19.3024345102,-99.1462651712,569,14514,19.3024320242,-99.1462651712
308,7977,19.4576222916,-99.2146893738,583,15394,19.4576728927,-99.2146893738
259,6732,19.4175263405,-99.0722112666,280,13417,19.4175236993,-99.0722112666
37,969,19.3427254732,-99.1907511011,450,11407,19.3427860307,-99.1907511011
242,6194,19.3943466,-99.1996351,416,10513,19.3944164841,-99.1996351
499,12558,19.3552651,-99.2156052,57,1510,19.3553023284,-99.2156052
161,4194,19.521745553,-99.0839312238,504,12704,19.5217259322,-99.0839312238
256,6672,19.4164900861,-99.0896626226,489,12315,19.416491759,-99.0896626226
187,4798,19.3620534209,-99.1891842223,164,4266,19.3620469622,-99.1891842223
98,2564,19.3284814578,-99.17346778,266,6962,19.3284816382,-99.17346778
433,10984,19.2932517574,-99.1703838951,41,4774,19.2932423911,-99.1703838951
605,15493,19.323279966,-99.1675802768,229,5884,19.323339195,-99.1675802768
248,6428,19.4764604986,-99.0833698102,537,14968,19.4764593,-99.0833698102
215,15253,19.3665371419,-99.2880819454,73,1977,19.366606042,-99.2880819454
387,16529,19.489778603,-99.1008390948,139,6731,19.4897290734,-99.1008390948
55,1441,19.4180999389,-99.0713457485,211,7702,19.4181667547,-99.0713457485
500,12597,19.2857352176,-99.1880018688,198,5040,19.2856685762,-99.1880018688
315,8187,19.3464666346,-99.1648035274,376,9519,19.3464163888,-99.1648035274
254,6584,19.482837578,-99.1195724781,45,13509,19.482818241,-99.1195724781
202,5157,19.4209647542,-99.0636144686,484,13677,19.4209645348,-99.0636144686
61,6005,19.203384628,-99.0469969984,165,4291,19.2033780855,-99.0469969984
242,7769,19.3753874022,-99.2021619054,550,13997,19.3754146704,-99.2021619054
391,9854,19.332751247,-99.2054941432,576,14680,19.3327869599,-99.2054941432
57,1495,19.3641238974,-99.1950440846,117,13237,19.3641238603,-99.1950440846
254,6602,19.4428290244,-99.1370431472,393,9915,19.442773281,-99.1370431472
287,7495,19.4978923581,-99.0964338006,200,5098,19.4978737284,-99.0964338006
15,452,19.3368941522,-99.1472562021,480,12162,19.336886585,-99.1472562021
